url,title,duration
https://www.youtube.com/watch?v=xm9Htz-pGJE,Band Eleições fala sobre mudanças na política de Caraguatatuba e campanhas regionais (Bloco 01),732
https://www.youtube.com/watch?v=4884iMsFeX0,"CIENTISTA POLÍTICO EXPÕE PREVIDÊNCIA NO BRASIL, LAMENTÁVEL!",743
https://www.youtube.com/watch?v=ERXAiwuPNsk,"Rubens Figueiredo, cientista político, sobre a conjuntura política",760
https://www.youtube.com/watch?v=dX31HQHH1nc,"Marco Aurélio Nogueira, cientista político, fala sobre as eleições",770
https://www.youtube.com/watch?v=5eaSeh_623c,Café com Política recebe o Cientista Político Carlos Magno,787
https://www.youtube.com/watch?v=qTnc8GXe0BY,Cientista político sobre queda da popularidade de Lula: “Não é um resultado comum”,808
https://www.youtube.com/watch?v=2NgBRi4LnQk,"Rubens Figueiredo, cientista político, sobre os atritos entre autoridades dentro e fora do governo",816
https://www.youtube.com/watch?v=6ucJ3JxMNo8,Figueiredo: “Temos no Brasil uma ideia de reforma política revolucionária” | VISÃO CRÍTICA,865
https://www.youtube.com/watch?v=ccLIn27pyig,Cientista político analisa papel do bolsonarismo após condenação do TSE  I Diálogo JP,866
https://www.youtube.com/watch?v=Hg7N-LFFiQo,"Márcio Holland e Rubens Figueiredo, sobre política",892
https://www.youtube.com/watch?v=HqQY9ffXHHU,"""Existe uma banalização do processo de impeachment"" diz cientista político Rubens Figueiredo",896
https://www.youtube.com/watch?v=nAf41GzHaVc,Cientista político analisa o maior desafio do governo Lula: Pacificação dos poderes,908
https://www.youtube.com/watch?v=6NlN6kgW4hc,Debate sobre os rumos da Previdência,929
https://www.youtube.com/watch?v=qzuDIdusu-U,Band Eleições fala sobre mudanças na política de Caraguatatuba e campanhas regionais (Bloco 02),947
https://www.youtube.com/watch?v=xTTCWiJx_G0,'A demora na tomada de decisões do STF sobre o caso Lula gerou uma nova situação eleitoral',1037
https://www.youtube.com/watch?v=UFyi6Fg4CX4,"Cient. pol. Rubens Figueiredo, Espaço Democ. e Rafael Cortez, Tendências Consultorias, sobre governo",1059
https://www.youtube.com/watch?v=dlCHOdkZqvA,"Rubens Figueiredo, cientista político, sobre eleições Câmara/Senado e renovação política",1065
https://www.youtube.com/watch?v=jXJnPkLS6B4,"Os cientistas políticos Rubens Figueiredo e Pedro Fassoni, sobre o panorama político",1079
https://www.youtube.com/watch?v=ouAOfzVFaCw,Realidade e Realismo - Abertura - Rubens Figueiredo (PARTE 1),1089
https://www.youtube.com/watch?v=es7Il8ZVIQc,Rubens Figueiredo: “Alckmin vice de Lula objetiva alargar campo de atuação do PT”,1099
https://www.youtube.com/watch?v=S3YuT6ej3Vk,"Rodrigo Prando e Rubens Figueiredo, cientistas políticos, sobre a prisão do ex-presidente Temer",1105
https://www.youtube.com/watch?v=J06WVYhumQo,Prosa Política - Rubens Figueiredo - Parte II,1123
